id;tytul;rok;rezyser;gatunek;czas_tr
1;Interstellar;2014;Christopher Nolan;Sci-Fi;2:49
2;Gra;1997;David Fincher;Thriller;2:09
3;Żądło;1973
4;Dawno temu w Ameryce;1984;Sergio Leone;Gangsterski;3:49
5;Niezłomny;2008;Ryan Little;Wojenny;2:17
6;Legend;2015;Brian Helgeland;Biograficzny;2:11
7;Zjawa;2015;Alejandro Inarritu;Przygodowy;2:36
8;Spotlight;2015;Tom McCarthy;Dramat;2:08
9;Praktykant;2015;Nancy Meyers;Komedia;2:01
10;Fargo;1996;Ethan Coen,Joel Coen;Thriller;1:38
