n,błąd
1,0.001668613163477696000000000000
2,0.000000834525128055254400000000
3,0.000000000198716225310175120000
4,0.000000000000027523870045116441
5,0.000000000000000139009444672305
6,0.000000000000000139009444672305
7,0.000000000000000139009444672305
8,0.000000000000000139009444672305
9,0.000000000000000139009444672305
10,0.000000000000000139009444672305
