x,sin,mysin,mysinrev,mysinterms,mysintermsrev
1.00,0.01745240643728351200,0.01745240643728351500,0.01745240643728351200,0.01745240643728351500,0.01745240643728351200
2.00,0.03489949670250096900,0.03489949670250096900,0.03489949670250096900,0.03489949670250096900,0.03489949670250096900
3.00,0.05233595624294383500,0.05233595624294383500,0.05233595624294383500,0.05233595624294383500,0.05233595624294383500
4.00,0.06975647374412530200,0.06975647374412530200,0.06975647374412530200,0.06975647374412530200,0.06975647374412530200
5.00,0.08715574274765816600,0.08715574274765816600,0.08715574274765816600,0.08715574274765816600,0.08715574274765816600
6.00,0.10452846326765347000,0.10452846326765348000,0.10452846326765347000,0.10452846326765348000,0.10452846326765347000
7.00,0.12186934340514748000,0.12186934340514748000,0.12186934340514748000,0.12186934340514748000,0.12186934340514748000
8.00,0.13917310096006544000,0.13917310096006547000,0.13917310096006544000,0.13917310096006547000,0.13917310096006544000
9.00,0.15643446504023087000,0.15643446504023087000,0.15643446504023087000,0.15643446504023087000,0.15643446504023087000
10.00,0.17364817766693033000,0.17364817766693033000,0.17364817766693033000,0.17364817766693033000,0.17364817766693033000
11.00,0.19080899537654480000,0.19080899537654480000,0.19080899537654480000,0.19080899537654480000,0.19080899537654480000
12.00,0.20791169081775934000,0.20791169081775934000,0.20791169081775934000,0.20791169081775934000,0.20791169081775934000
13.00,0.22495105434386500000,0.22495105434386500000,0.22495105434386500000,0.22495105434386500000,0.22495105434386500000
14.00,0.24192189559966773000,0.24192189559966773000,0.24192189559966773000,0.24192189559966773000,0.24192189559966773000
15.00,0.25881904510252074000,0.25881904510252068000,0.25881904510252074000,0.25881904510252068000,0.25881904510252074000
16.00,0.27563735581699916000,0.27563735581699916000,0.27563735581699916000,0.27563735581699916000,0.27563735581699916000
17.00,0.29237170472273677000,0.29237170472273677000,0.29237170472273677000,0.29237170472273677000,0.29237170472273677000
18.00,0.30901699437494740000,0.30901699437494745000,0.30901699437494740000,0.30901699437494745000,0.30901699437494740000
19.00,0.32556815445715670000,0.32556815445715670000,0.32556815445715670000,0.32556815445715670000,0.32556815445715670000
20.00,0.34202014332566871000,0.34202014332566877000,0.34202014332566871000,0.34202014332566877000,0.34202014332566871000
21.00,0.35836794954530027000,0.35836794954530027000,0.35836794954530027000,0.35836794954530027000,0.35836794954530027000
22.00,0.37460659341591201000,0.37460659341591196000,0.37460659341591201000,0.37460659341591196000,0.37460659341591201000
23.00,0.39073112848927377000,0.39073112848927377000,0.39073112848927377000,0.39073112848927377000,0.39073112848927377000
24.00,0.40673664307580021000,0.40673664307580021000,0.40673664307580021000,0.40673664307580021000,0.40673664307580021000
25.00,0.42261826174069944000,0.42261826174069939000,0.42261826174069944000,0.42261826174069939000,0.42261826174069944000
26.00,0.43837114678907740000,0.43837114678907740000,0.43837114678907740000,0.43837114678907740000,0.43837114678907740000
27.00,0.45399049973954675000,0.45399049973954675000,0.45399049973954675000,0.45399049973954675000,0.45399049973954675000
28.00,0.46947156278589081000,0.46947156278589075000,0.46947156278589081000,0.46947156278589075000,0.46947156278589081000
29.00,0.48480962024633706000,0.48480962024633700000,0.48480962024633706000,0.48480962024633700000,0.48480962024633706000
30.00,0.49999999999999994000,0.49999999999999994000,0.49999999999999994000,0.49999999999999994000,0.49999999999999994000
31.00,0.51503807491005416000,0.51503807491005416000,0.51503807491005416000,0.51503807491005416000,0.51503807491005416000
32.00,0.52991926423320490000,0.52991926423320501000,0.52991926423320490000,0.52991926423320501000,0.52991926423320490000
